2023-08-08 10:33:54.612[1691483634612] | INFO  | main       | c.e.b.BinanceApiApplication          - Starting BinanceApiApplication using Java 17 with PID 22948 (C:\Users\serhi\Desktop\Projects\Futures Trading Util\binance_api\target\classes started by serhi in C:\Users\serhi\Desktop\Projects\Futures Trading Util)
2023-08-08 10:33:54.618[1691483634618] | INFO  | main       | c.e.b.BinanceApiApplication          - No active profile set, falling back to 1 default profile: "default"
2023-08-08 10:33:56.212[1691483636212] | INFO  | main       | o.s.cloud.context.scope.GenericScope - BeanFactory id=43322444-284a-3d3a-993a-546c43d90254
2023-08-08 10:33:56.753[1691483636753] | INFO  | main       | o.s.b.w.e.tomcat.TomcatWebServer     - Tomcat initialized with port(s): 8090 (http)
2023-08-08 10:33:56.763[1691483636763] | INFO  | main       | o.a.coyote.http11.Http11NioProtocol  - Initializing ProtocolHandler ["http-nio-8090"]
2023-08-08 10:33:56.768[1691483636768] | INFO  | main       | o.a.catalina.core.StandardService    - Starting service [Tomcat]
2023-08-08 10:33:56.769[1691483636769] | INFO  | main       | o.a.catalina.core.StandardEngine     - Starting Servlet engine: [Apache Tomcat/10.1.10]
2023-08-08 10:33:56.964[1691483636964] | INFO  | main       | o.a.c.c.C.[Tomcat].[localhost].[/]   - Initializing Spring embedded WebApplicationContext
2023-08-08 10:33:56.966[1691483636966] | INFO  | main       | o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2213 ms
2023-08-08 10:33:59.141[1691483639141] | INFO  | main       | o.s.c.n.e.c.DiscoveryClientOptionalArgsConfiguration - Eureka HTTP Client uses RestTemplate.
2023-08-08 10:33:59.825[1691483639825] | WARN  | main       | o.s.c.l.c.LoadBalancerCacheAutoConfiguration$LoadBalancerCaffeineWarnLogger - Spring Cloud LoadBalancer is currently working with the default cache. While this cache implementation is useful for development and tests, it's recommended to use Caffeine cache in production.You can switch to using Caffeine cache, by adding it and org.springframework.cache.caffeine.CaffeineCacheManager to the classpath.
2023-08-08 10:33:59.879[1691483639879] | INFO  | main       | o.s.c.n.eureka.InstanceInfoFactory   - Setting initial instance status as: STARTING
2023-08-08 10:33:59.928[1691483639928] | INFO  | main       | c.netflix.discovery.DiscoveryClient  - Initializing Eureka in region us-east-1
2023-08-08 10:33:59.934[1691483639934] | INFO  | main       | c.n.d.s.r.aws.ConfigClusterResolver  - Resolving eureka endpoints via configuration
2023-08-08 10:33:59.958[1691483639958] | INFO  | main       | c.netflix.discovery.DiscoveryClient  - Disable delta property : false
